,Pop2010,IntUse2010,FaceUse2010,Pop2015,LandAream2,LandAreak2,VehiclesPer1000,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Pop2010x,Densitym2,Murd,GunMurd,GunOwnPC,murd.pop2010x,V_Relig,EmitCO2,Pop2014,EmitRate,ObeseAd,OverweAd,ObeseCh,pHigh,pBatDeg,pAdDeg,NinJail,NJailper100k,pcRenew,pcRenewNOhydro,RenElec,RenElecNOhydro,TotalElec,pcUnion,Nunion,WorkPop,Nbillionaires,Collectivism,Ln.Firms.per.capita.,land.water.Total.Area.,Water.Area,Population.Density,Unemployment.Rates
Rovrate2,0.244653646,0.213948501,0.20128441,0.238579295,0.044424697,0.044424693,-0.264090255,0.408647386,0.725594111,0.295316882,1,0.468754181,0.241502105,-0.112940977,0.303378228,0.318336705,0.217859419,0.461962071,0.43859255,0.28505586,0.239093168,-0.090314687,0.469750491,0.389369829,0.46251235,-0.641274421,-0.485892228,-0.326844146,0.308920645,0.493751757,-0.295305716,-0.28268619,-0.01243487,0.089711565,0.312131766,-0.17120134,0.124118372,0.217887313,0.134998494,0.263414421,-0.475695868,0.057827144,0.128247386,-0.11107663,0.457271772
PovRate3,0.571881041,0.564780326,0.552636499,0.572939452,0.036404479,0.036404491,-0.487496312,0.569113631,0.505432644,0.606199989,0.468754181,1,0.573138522,0.097314172,0.625671056,0.626273457,-0.056060747,0.52125869,0.082798503,0.385898903,0.572409878,-0.319320106,-0.002082293,-0.096028022,0.337064986,-0.68752539,-0.125438975,-0.000801044,0.595569116,0.391286343,-0.253910135,-0.216468148,0.168871623,0.290770236,0.410335207,0.045494229,0.471594492,0.550879106,0.562162155,0.570147772,-0.305582563,0.03181535,-0.005108585,0.095264172,0.536354136
Pop2010x,0.999725481,0.995678096,0.992552811,0.999431635,0.124822554,0.124822575,-0.254696385,0.520593404,0.207461424,0.988488717,0.241502105,0.573138522,1,0.176327534,0.976875585,0.965278742,-0.293983947,0.325425875,0.028967303,0.808230403,0.999621323,-0.25564846,-0.027915671,-0.065688646,0.164799721,-0.44882046,0.123017266,0.167118963,0.950782507,0.121677356,-0.16987852,-0.08521113,0.541746732,0.738891308,0.799316919,0.155979618,0.853316603,0.998600071,0.880978937,0.24593851,-0.170120568,0.116837095,0.042353555,0.172573955,0.249627052
Densitym2,0.176336622,0.207734192,0.191823298,0.167610504,-0.347513189,-0.347513187,-0.186087038,0.432105389,-0.258734447,0.105508831,-0.112940977,0.097314172,0.176327534,1,0.164907184,0.162040248,-0.624612229,0.141924396,-0.310563644,0.001795886,0.170027236,-0.328880969,-0.347822823,-0.264964265,0.050898281,-0.041778226,0.542279216,0.64472235,0.072841727,-0.314885169,-0.319152072,-0.31641193,-0.146911917,-0.125444619,-0.008851511,0.34544026,0.248378981,0.186165457,0.143519334,0.241394457,0.00021905,-0.321193486,-0.096417013,0.999889556,0.219325141
Murd,0.976258593,0.96603957,0.966891767,0.975905661,0.126903879,0.126903897,-0.23728115,0.557410179,0.278894339,0.974435635,0.303378228,0.625671056,0.976875585,0.164907184,1,0.994723527,-0.258641162,0.47976927,0.081487812,0.813477669,0.976098347,-0.223822611,0.045297288,0.004986654,0.23755353,-0.522038159,0.062893731,0.133924168,0.95708468,0.231172999,-0.229429955,-0.138378503,0.459303854,0.698743627,0.807212998,0.0884556,0.804477498,0.972624834,0.842534936,0.323922602,-0.203781082,0.121312611,0.060270502,0.161046185,0.318018208
GunMurd,0.964208767,0.953816004,0.950484812,0.964359607,0.120407364,0.120407382,-0.211145436,0.546163194,0.288976222,0.965754529,0.318336705,0.626273457,0.965278742,0.162040248,0.994723527,1,-0.247756734,0.500303529,0.097737392,0.800954426,0.964491418,-0.21318165,0.066974857,0.022697291,0.235863906,-0.524462493,0.041340872,0.113443201,0.95343037,0.257638857,-0.237186238,-0.143991955,0.44146918,0.68513706,0.788541957,0.06374187,0.785863424,0.959569811,0.82639495,0.337569797,-0.20985781,0.11701036,0.070246935,0.158275611,0.321484751
GunOwnPC,-0.298244666,-0.329637067,-0.32103131,-0.286679061,0.417153473,0.417153461,0.191072643,-0.251982581,0.319892133,-0.224795856,0.217859419,-0.056060747,-0.293983947,-0.624612229,-0.258641162,-0.247756734,1,-0.045100081,0.407551605,-0.070304024,-0.288846476,0.533007219,0.352776604,0.300609365,0.006884839,-0.108517843,-0.595765212,-0.631715377,-0.173164917,0.38623949,0.076838876,-0.004199592,-0.119815884,-0.092896532,-0.064575981,-0.286348687,-0.384917238,-0.306364587,-0.276250082,0.026338801,-0.062927795,0.403941813,0.242990032,-0.623925154,0.06683524
murd.pop2010x,0.325912215,0.30215967,0.302174588,0.320414405,0.044317953,0.044317937,-0.243314963,0.563968298,0.536843471,0.340940374,0.461962071,0.52125869,0.325425875,0.141924396,0.47976927,0.500303529,-0.045100081,1,0.333894669,0.355209415,0.321475664,-0.133092675,0.429356699,0.351032928,0.551357071,-0.650323614,-0.203196985,0.012336738,0.403273744,0.657425988,-0.521284124,-0.518345274,-0.08147397,0.040279603,0.374009043,-0.169145304,0.182588516,0.316263557,0.163301897,0.515619903,-0.525813281,0.056419109,0.117028926,0.138869823,0.651754098
V_Relig,0.026872562,-0.019863923,-0.008064415,0.031271268,-0.065806038,-0.065806059,0.060558597,0.202033669,0.600179444,0.085612502,0.43859255,0.082798503,0.028967303,-0.310563644,0.081487812,0.097737392,0.407551605,0.333894669,1,0.24512601,0.030586744,0.177529297,0.690581746,0.568166398,0.440609763,-0.530795869,-0.613008788,-0.599823783,0.154771961,0.595864359,-0.375708216,-0.311127962,-0.114725215,0.035538055,0.277621564,-0.635314704,-0.180452526,0.017028812,-0.133189316,0.313488021,-0.471709861,-0.084296107,-0.183127105,-0.309111797,0.096124572
EmitCO2,0.807353164,0.762062754,0.788162082,0.816526945,0.22713353,0.227133539,-0.171523664,0.399579143,0.289988399,0.833121344,0.28505586,0.385898903,0.808230403,0.001795886,0.813477669,0.800954426,-0.070304024,0.355209415,0.24512601,1,0.814787362,0.003364888,0.20657555,0.166900003,0.3053659,-0.495206237,-0.127809085,-0.089016076,0.892576193,0.321774585,-0.27437275,-0.145793177,0.422743782,0.760070103,0.94175142,-0.069295378,0.507250831,0.81717179,0.567539095,0.236952578,-0.256353981,0.206207756,0.032990858,0.00033199,0.155374313
Pop2014,0.99939412,0.994142541,0.99179786,0.999961441,0.134227822,0.134227843,-0.254527598,0.515048446,0.20645169,0.990237647,0.239093168,0.572409878,0.999621323,0.170027236,0.976098347,0.964491418,-0.288846476,0.321475664,0.030586744,0.814787362,1,-0.252511522,-0.029014736,-0.066885682,0.164676963,-0.451856458,0.123646657,0.164196906,0.953631973,0.123656081,-0.164567131,-0.078779942,0.550831351,0.752021375,0.802692109,0.147730648,0.847307204,0.998831,0.88120637,0.246063377,-0.169043227,0.124922645,0.040688815,0.166273233,0.244639717
EmitRate,-0.256783667,-0.274257636,-0.261479058,-0.251961644,0.262803448,0.262803438,0.471860404,-0.333134933,-0.064601316,-0.220181951,-0.090314687,-0.319320106,-0.25564846,-0.328880969,-0.223822611,-0.21318165,0.533007219,-0.133092675,0.177529297,0.003364888,-0.252511522,1,0.242178426,0.31996781,-0.081851708,0.121705377,-0.402643623,-0.450456526,-0.193588986,0.142563869,-0.153125681,-0.064008488,-0.155410826,-0.040426735,-0.061482266,-0.190237484,-0.249227703,-0.25958791,-0.176033471,-0.219004866,0.169719951,0.251642063,0.133587879,-0.326624563,-0.140072174
ObeseAd,-0.027565464,-0.073839384,-0.064219684,-0.029482577,0.068597151,0.068597139,0.107491375,0.116217517,0.602085855,0.029663805,0.469750491,-0.002082293,-0.027915671,-0.347822823,0.045297288,0.066974857,0.352776604,0.429356699,0.690581746,0.20657555,-0.029014736,0.242178426,1,0.915970051,0.627954832,-0.499958559,-0.708165656,-0.591562904,0.088800773,0.606108806,-0.253094099,-0.286166606,-0.048351497,-0.007231515,0.229017363,-0.381253195,-0.162047337,-0.041685973,-0.18267528,0.176328752,-0.541897681,0.077431743,0.114930865,-0.346888652,0.316371487
OverweAd,-0.066969373,-0.110002677,-0.101660644,-0.067170941,0.106249676,0.106249679,0.245135747,0.062401869,0.500480659,-0.009341789,0.389369829,-0.096028022,-0.065688646,-0.264964265,0.004986654,0.022697291,0.300609365,0.351032928,0.568166398,0.166900003,-0.066885682,0.31996781,0.915970051,1,0.603516758,-0.435643414,-0.710446228,-0.605472382,0.043593497,0.496172074,-0.226851774,-0.256086152,-0.072786407,-0.010359105,0.184173585,-0.337639092,-0.183439069,-0.077984061,-0.184061168,0.009836001,-0.444097988,0.113764114,0.135967416,-0.262855147,0.267713048
ObeseCh,0.16389955,0.120914842,0.128869961,0.164614971,-0.185360718,-0.185360704,-0.151524665,0.47389952,0.634830596,0.216813107,0.46251235,0.337064986,0.164799721,0.050898281,0.23755353,0.235863906,0.006884839,0.551357071,0.440609763,0.3053659,0.164676963,-0.081851708,0.627954832,0.603516758,1,-0.700015949,-0.418572927,-0.197005571,0.252100453,0.45803214,-0.40253609,-0.401076587,-0.069933383,0.029955611,0.32544768,-0.239109411,0.000378187,0.151620974,0.017504349,0.425992005,-0.560440806,-0.181488071,-0.124653124,0.04798171,0.465234752
pHigh,-0.448567886,-0.406598157,-0.406959238,-0.452428325,0.039486687,0.039486686,0.378266225,-0.70540704,-0.842396663,-0.515818417,-0.641274421,-0.68752539,-0.44882046,-0.041778226,-0.522038159,-0.524462493,-0.108517843,-0.650323614,-0.530795869,-0.495206237,-0.451856458,0.121705377,-0.499958559,-0.435643414,-0.700015949,1,0.468670554,0.247250033,-0.54418561,-0.621977014,0.399142573,0.394386889,-0.136723957,-0.279238709,-0.524242805,0.257467424,-0.254723545,-0.429343584,-0.337883493,-0.48920762,0.613534956,0.058225118,0.165399864,-0.042173595,-0.67015251
pBatDeg,0.126390709,0.171181654,0.175333775,0.122563633,-0.119616211,-0.119616211,-0.108745993,0.072545477,-0.678382021,0.025790602,-0.485892228,-0.125438975,0.123017266,0.542279216,0.062893731,0.041340872,-0.595765212,-0.203196985,-0.613008788,-0.127809085,0.123646657,-0.402643623,-0.708165656,-0.710446228,-0.418572927,0.468670554,1,0.917083004,-0.020882044,-0.575712136,0.13281003,0.145758011,0.106239969,0.034119075,-0.144793947,0.382191271,0.249363529,0.149513963,0.178416208,-0.075830729,0.399188801,-0.110618992,-0.032643175,0.538827527,-0.248675895
pAdDeg,0.171454246,0.212722355,0.206694334,0.16210469,-0.20859355,-0.208593555,-0.214033185,0.298390392,-0.489758463,0.069736804,-0.326844146,-0.000801044,0.167118963,0.64472235,0.133924168,0.113443201,-0.631715377,0.012336738,-0.599823783,-0.089016076,0.164196906,-0.450456526,-0.591562904,-0.605472382,-0.197005571,0.247250033,0.917083004,1,0.026297097,-0.451293509,-0.00088929,-0.02768699,0.033169497,-0.054890986,-0.092688822,0.437669898,0.308724016,0.18817953,0.211182275,0.045239935,0.210330429,-0.191438248,-0.047899621,0.640200939,0.01144218
NinJail,0.947193709,0.922107945,0.928222957,0.955314339,0.18324907,0.183249087,-0.233870417,0.508300191,0.321500575,0.965897006,0.308920645,0.595569116,0.950782507,0.072841727,0.95708468,0.95343037,-0.173164917,0.403273744,0.154771961,0.892576193,0.953631973,-0.193588986,0.088800773,0.043593497,0.252100453,-0.54418561,-0.020882044,0.026297097,1,0.328888759,-0.217215961,-0.126285402,0.484021469,0.75360041,0.893403359,-0.040212555,0.670938027,0.947907598,0.763752831,0.290657716,-0.231985883,0.168022469,0.037674376,0.069554486,0.259312506
NJailper100k,0.118204277,0.070667055,0.074571206,0.125420101,0.232104023,0.232104007,-0.064273651,0.293540784,0.677956892,0.187835834,0.493751757,0.391286343,0.121677356,-0.314885169,0.231172999,0.257638857,0.38623949,0.657425988,0.595864359,0.321774585,0.123656081,0.142563869,0.606108806,0.496172074,0.45803214,-0.621977014,-0.575712136,-0.451293509,0.328888759,1,-0.318511759,-0.383497611,-0.046148243,0.077415087,0.360110271,-0.487124498,-0.131301586,0.103130805,-0.025835378,0.294862492,-0.454101891,0.216596616,0.075053851,-0.315472811,0.42105065
pcRenew,-0.168784495,-0.151834292,-0.141621325,-0.163378607,0.117099548,0.117099561,0.167799802,-0.319825548,-0.178112108,-0.157280287,-0.295305716,-0.253910135,-0.16987852,-0.319152072,-0.229429955,-0.237186238,0.076838876,-0.521284124,-0.375708216,-0.27437275,-0.164567131,-0.153125681,-0.253094099,-0.226851774,-0.40253609,0.399142573,0.13281003,-0.00088929,-0.217215961,-0.318511759,1,0.746104653,0.409699358,0.081431909,-0.270079382,0.181951907,-0.033228146,-0.170197191,-0.005173672,-0.465440829,0.516278536,0.105844739,0.016933492,-0.318006487,-0.305861412
pcRenewNOhydro,-0.084833892,-0.07550474,-0.074639323,-0.077777371,0.017968084,0.017968108,0.135148405,-0.34694954,-0.278290545,-0.073798091,-0.28268619,-0.216468148,-0.08521113,-0.31641193,-0.138378503,-0.143991955,-0.004199592,-0.518345274,-0.311127962,-0.145793177,-0.078779942,-0.064008488,-0.286166606,-0.256086152,-0.401076587,0.394386889,0.145758011,-0.02768699,-0.126285402,-0.383497611,0.746104653,1,0.203387518,0.32898721,-0.225459561,0.062343352,-0.00093381,-0.080330557,0.05089927,-0.379761783,0.54847405,0.000810112,-0.103596634,-0.315288418,-0.49741029
RenElec,0.545027021,0.547013435,0.569057361,0.552314178,0.200450521,0.200450531,-0.032626378,0.129341784,0.092583137,0.552834942,-0.01243487,0.168871623,0.541746732,-0.146911917,0.459303854,0.44146918,-0.119815884,-0.08147397,-0.114725215,0.422743782,0.550831351,-0.155410826,-0.048351497,-0.072786407,-0.069933383,-0.136723957,0.106239969,0.033169497,0.484021469,-0.046148243,0.409699358,0.203387518,1,0.674128433,0.45832023,0.248400479,0.540837907,0.5458096,0.573236795,-0.167380874,-0.053116328,0.174959791,-0.016908736,-0.148037025,0.104108328
RenElecNOhydro,0.740050646,0.714820797,0.734513085,0.754233679,0.302568252,0.302568278,-0.051846426,0.153045028,0.084555882,0.771389592,0.089711565,0.290770236,0.738891308,-0.125444619,0.698743627,0.68513706,-0.092896532,0.040279603,0.035538055,0.760070103,0.752021375,-0.040426735,-0.007231515,-0.010359105,0.029955611,-0.279238709,0.034119075,-0.054890986,0.75360041,0.077415087,0.081431909,0.32898721,0.674128433,1,0.669943934,0.02011904,0.559629618,0.749104922,0.670139191,-0.000915577,-0.021999313,0.267478539,-0.002884227,-0.12669934,-0.027564303
TotalElec,0.796097898,0.75311532,0.782906142,0.804717205,0.160194447,0.160194443,-0.20341503,0.472680203,0.354520479,0.81906817,0.312131766,0.410335207,0.799316919,-0.008851511,0.807212998,0.788541957,-0.064575981,0.374009043,0.277621564,0.94175142,0.802692109,-0.061482266,0.229017363,0.184173585,0.32544768,-0.524242805,-0.144793947,-0.092688822,0.893403359,0.360110271,-0.270079382,-0.225459561,0.45832023,0.669943934,1,-0.09735228,0.480393769,0.802899652,0.536174985,0.233308075,-0.327272912,0.140633851,-0.011157464,-0.010732563,0.237513042
pcUnion,0.162694717,0.208229705,0.197812594,0.143757545,0.113420475,0.113420482,-0.084574278,0.093777627,-0.32231961,0.092391632,-0.17120134,0.045494229,0.155979618,0.34544026,0.0884556,0.06374187,-0.286348687,-0.169145304,-0.635314704,-0.069295378,0.147730648,-0.190237484,-0.381253195,-0.337639092,-0.239109411,0.257467424,0.382191271,0.437669898,-0.040212555,-0.487124498,0.181951907,0.062343352,0.248400479,0.02011904,-0.09735228,1,0.507809529,0.158053575,0.325878287,-0.024304365,0.178663422,0.147202324,0.328062488,0.345832891,0.158383591
Nunion,0.859760614,0.888395569,0.869597568,0.843810657,0.043514233,0.043514258,-0.212406892,0.465342562,0.049416411,0.807452855,0.124118372,0.471594492,0.853316603,0.248378981,0.804477498,0.785863424,-0.384917238,0.182588516,-0.180452526,0.507250831,0.847307204,-0.249227703,-0.162047337,-0.183439069,0.000378187,-0.254723545,0.249363529,0.308724016,0.670938027,-0.131301586,-0.033228146,-0.00093381,0.540837907,0.559629618,0.480393769,0.507809529,1,0.850069431,0.92126825,0.13361356,-0.030436632,0.047843396,0.064929028,0.245489158,0.221871374
WorkPop,0.99864889,0.994261763,0.992638405,0.998666317,0.126951969,0.126951991,-0.256709414,0.50931922,0.176883063,0.984097985,0.217887313,0.550879106,0.998600071,0.186165457,0.972624834,0.959569811,-0.306364587,0.316263557,0.017028812,0.81717179,0.998831,-0.25958791,-0.041685973,-0.077984061,0.151620974,-0.429343584,0.149513963,0.18817953,0.947907598,0.103130805,-0.170197191,-0.080330557,0.5458096,0.749104922,0.802899652,0.158053575,0.850069431,1,0.875226582,0.239553082,-0.166489911,0.118097507,0.038030119,0.182320672,0.228747448
Nbillionaires,0.882984457,0.897535785,0.877028764,0.880496545,0.146086725,0.146086758,-0.211561458,0.45338319,0.10666657,0.868912684,0.134998494,0.562162155,0.880978937,0.143519334,0.842534936,0.82639495,-0.276250082,0.163301897,-0.133189316,0.567539095,0.88120637,-0.176033471,-0.18267528,-0.184061168,0.017504349,-0.337883493,0.178416208,0.211182275,0.763752831,-0.025835378,-0.005173672,0.05089927,0.573236795,0.670139191,0.536174985,0.325878287,0.92126825,0.875226582,1,0.136881446,0.059708591,0.136065246,0.046587156,0.139709288,0.173571516
Collectivism,0.244268895,0.227058999,0.220489334,0.245718481,-0.148283288,-0.148283287,-0.284092183,0.337028175,0.272767709,0.256654125,0.263414421,0.570147772,0.24593851,0.241394457,0.323922602,0.337569797,0.026338801,0.515619903,0.313488021,0.236952578,0.246063377,-0.219004866,0.176328752,0.009836001,0.425992005,-0.48920762,-0.075830729,0.045239935,0.290657716,0.294862492,-0.465440829,-0.379761783,-0.167380874,-0.000915577,0.233308075,-0.024304365,0.13361356,0.239553082,0.136881446,1,-0.474035344,-0.129677539,0.008306863,0.238023242,0.36277819
Ln.Firms.per.capita.,-0.173220247,-0.149835453,-0.147403476,-0.168228944,0.115467452,0.115467463,0.302609972,-0.281278037,-0.527907007,-0.186663484,-0.475695868,-0.305582563,-0.170120568,0.00021905,-0.203781082,-0.20985781,-0.062927795,-0.525813281,-0.471709861,-0.256353981,-0.169043227,0.169719951,-0.541897681,-0.444097988,-0.560440806,0.613534956,0.399188801,0.210330429,-0.231985883,-0.454101891,0.516278536,0.54847405,-0.053116328,-0.021999313,-0.327272912,0.178663422,-0.030436632,-0.166489911,0.059708591,-0.474035344,1,0.113500686,0.080373397,0.000549792,-0.579059244
land.water.Total.Area.,0.11668145,0.101119355,0.116088853,0.127052324,0.995864166,0.995864163,0.11306901,-0.223537761,-0.018137714,0.151223928,0.057827144,0.03181535,0.116837095,-0.321193486,0.121312611,0.11701036,0.403941813,0.056419109,-0.084296107,0.206207756,0.124922645,0.251642063,0.077431743,0.113764114,-0.181488071,0.058225118,-0.110618992,-0.191438248,0.168022469,0.216596616,0.105844739,0.000810112,0.174959791,0.267478539,0.140633851,0.147202324,0.047843396,0.118097507,0.136065246,-0.129677539,0.113500686,1,0.827948899,-0.32034558,0.159931603
Water.Area,0.042048926,0.045602287,0.037831301,0.040709282,0.773576878,0.773576863,0.133798676,-0.183884634,-0.107393923,0.047449421,0.128247386,-0.005108585,0.042353555,-0.096417013,0.060270502,0.070246935,0.242990032,0.117028926,-0.183127105,0.032990858,0.040688815,0.133587879,0.114930865,0.135967416,-0.124653124,0.165399864,-0.032643175,-0.047899621,0.037674376,0.075053851,0.016933492,-0.103596634,-0.016908736,-0.002884227,-0.011157464,0.328062488,0.064929028,0.038030119,0.046587156,0.008306863,0.080373397,0.827948899,1,-0.096472351,0.216097505
Population.Density,0.172657547,0.203970543,0.188437264,0.163835924,-0.346546035,-0.346546033,-0.185898262,0.430669735,-0.256972099,0.101916588,-0.11107663,0.095264172,0.172573955,0.999889556,0.161046185,0.158275611,-0.623925154,0.138869823,-0.309111797,0.00033199,0.166273233,-0.326624563,-0.346888652,-0.262855147,0.04798171,-0.042173595,0.538827527,0.640200939,0.069554486,-0.315472811,-0.318006487,-0.315288418,-0.148037025,-0.12669934,-0.010732563,0.345832891,0.245489158,0.182320672,0.139709288,0.238023242,0.000549792,-0.32034558,-0.096472351,1,0.220067131
Unemployment.Rates,0.25090119,0.246705268,0.242548451,0.243202016,0.145455232,0.145455214,-0.341192995,0.564895995,0.614435425,0.272755031,0.457271772,0.536354136,0.249627052,0.219325141,0.318018208,0.321484751,0.06683524,0.651754098,0.096124572,0.155374313,0.244639717,-0.140072174,0.316371487,0.267713048,0.465234752,-0.67015251,-0.248675895,0.01144218,0.259312506,0.42105065,-0.305861412,-0.49741029,0.104108328,-0.027564303,0.237513042,0.158383591,0.221871374,0.228747448,0.173571516,0.36277819,-0.579059244,0.159931603,0.216097505,0.220067131,1
