State,Region,State Abbreviation,Murd,GunMurd,GunOwnPC,murd/pop2010,gunmurd/pop2010,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Densitym2,V_Relig,pHigh,pBatDeg,pAdDeg,Pop2010,,,,
North Carolina,South,NC,445,286,0.287,4.69E-05,3.02E-05,0.464,0.172,1663,0.17,0.142,200.6,50,0.843,0.265,0.088,9479467,,,,
North Dakota,Midwest,ND,9,4,0.479,1.38E-05,6.12E-06,0.433,0.111,79,0.11,0.092,9.916,44,0.901,0.258,0.067,653642,,,,
Ohio,Midwest,OH,460,310,0.196,3.94E-05,2.66E-05,0.452,0.158,1778,0.135,0.132,282.5,39,0.876,0.241,0.088,11663946,,,,
Oklahoma,South,OK,188,111,0.312,5.05E-05,2.98E-05,0.454,0.166,623,0.13,0.134,55.22,48,0.856,0.227,0.074,3725797,,,,
Oregon,West,OR,78,36,0.266,2.02E-05,9.31E-06,0.449,0.164,637,0.0711,0.103,40.33,30,0.891,0.292,0.104,3865861,,,,
Pennsylvania,Northeast,PA,646,457,0.271,5.07E-05,3.59E-05,0.461,0.136,1679,0.112,0.126,285.3,40,0.879,0.264,0.102,12737230,,,,
Rhode Island,Northeast,RI,29,16,0.058,2.72E-05,1.50E-05,0.467,0.148,149,0.132,0.136,1006,32,0.847,0.305,0.117,1064277,,,,
South Carolina,South,SC,280,207,0.444,6.07E-05,4.49E-05,0.461,0.179,838,0.138,0.158,157.1,54,0.836,0.243,0.084,4609176,,,,
South Dakota,Midwest,SD,14,8,0.35,1.71E-05,9.75E-06,0.442,0.141,115,0.143,0.106,10.86,45,0.899,0.251,0.073,820920,,,,
Tennessee,South,TN,356,219,0.394,5.60E-05,3.44E-05,0.468,0.182,1165,0.167,0.155,156.6,52,0.831,0.23,0.079,6362421,,,,
Texas,South,TX,1246,805,0.357,4.98E-05,3.21E-05,0.469,0.172,4519,0.174,0.164,98.07,47,0.799,0.255,0.085,25042738,,,,
Utah,West,UT,52,22,0.319,1.85E-05,7.82E-06,0.419,0.118,341,0.098,0.116,34.3,57,0.904,0.285,0.091,2813835,,,,
Vermont,Northeast,VT,7,2,0.288,1.11E-05,3.18E-06,0.444,0.122,72,0.097,0.134,67.73,22,0.91,0.331,0.133,628294,,,,
Virginia,South,VA,369,250,0.293,4.63E-05,3.14E-05,0.459,0.118,955,0.108,0.133,207.3,42,0.866,0.34,0.141,7965428,,,,
Washington,West,WA,151,93,0.277,2.24E-05,1.38E-05,0.441,0.132,913,0.119,0.122,102.6,30,0.897,0.31,0.111,6734229,,,,
West Virginia,South,WV,55,27,0.542,2.99E-05,1.47E-05,0.451,0.183,328,0.16,0.129,77.06,43,0.828,0.173,0.067,1838901,,,,
Wisconsin,Midwest,WI,151,97,0.347,2.64E-05,1.70E-05,0.43,0.132,737,0.111,0.108,105.2,37,0.898,0.257,0.084,5714200,,,,
Wyoming,West,WY,8,5,0.538,1.45E-05,9.09E-06,0.423,0.106,54,0.093,0.092,5.851,34,0.918,0.238,0.079,549990,,,,
