ACT,priorGPA,termGPA,attendPC,hwPC,year,final
25,2.59,2.14,75,62.5,2,25
25,3.17,3.22,100,75,2,28
19,2.61,2.39,62.5,75,2,23
18,2.95,3.15,81.25,100,2,27
20,2.2,1.75,84.375,87.5,2,26
28,2.52,1.75,75,75,3,25
22,2.55,2.81,93.75,100,2,25
25,2.9,3.05,96.875,100,2,27
26,2.53,2.27,71.875,75,2,21
19,2.27,2.92,78.125,100,2,28
23,2.71,2.5,90.625,87.5,2,26
26,2,3.71,87.5,100,1,34
21,2.29,1.5,62.5,37.5,3,21
24,1.96,2.11,96.875,100,2,22
18,2.46,3.28,96.875,100,3,34
20,2.18,1.6,71.875,100,2,27
23,3.05,3.33,78.125,100,2,30
22,2.47,2.04,87.5,100,1,23
25,2.76,2.86,90.625,100,2,27
17,1.75,0.821,53.125,12.5,1,22
21,2.74,2.46,87.5,87.5,2,30
19,3.07,4,100,100,2,35
22,1.91,1.36,62.5,75,3,21
25,2.25,0,6.25,37.5,2,20
17,2.03,1.83,65.625,50,3,22
30,3.06,3.75,87.5,100,3,33
17,2.26,1.65,81.25,75,1,30
28,3.19,3,75,100,2,20
20,2.57,2.67,96.875,100,2,20
17,2.74,2.87,90.625,100,3,30
22,2.17,2.31,65.625,100,1,23
26,3.3,2.63,75,100,2,25
27,2.53,1.83,62.5,62.5,2,27
23,2.07,2,93.75,87.5,2,19
25,3.25,3.59,96.875,100,2,30
23,2.82,2.88,100,100,2,19
20,2.45,1.93,71.875,87.5,2,31
20,3.02,2.7,93.75,100,2,28
23,2.84,2.69,87.5,87.5,2,21
23,3.39,3.38,78.125,87.5,2,25
18,0.857,2.5,87.5,100,2,30
32,2.31,3.53,75,100,3,32
16,2.96,2.15,81.25,100,2,20
21,2.38,2.68,78.125,100,1,23
20,2.15,2.71,84.375,100,2,24
23,1.9,2.62,71.875,100,1,29
19,1.8,2.19,90.625,87.5,1,19
21,1.74,2.68,68.75,100,2,29
21,2.22,2.75,87.5,62.5,2,26
21,2.49,1.6,78.125,50,3,19
20,2.92,2.38,78.125,100,3,20
22,1.98,2.3,84.375,87.5,3,27
17,1.83,3.36,71.875,100,1,30
21,3.28,3.25,100,100,2,26
16,1.98,1.5,84.375,62.5,1,23
19,3.02,2.96,96.875,87.5,2,25
26,2.87,3.1,78.125,62.5,2,20
19,2.75,2.04,81.25,100,2,26
30,3.45,3.21,90.625,100,2,31
24,3.21,3.12,87.5,100,2,22
18,2.43,1.5,93.75,100,3,32
23,2.56,1.96,90.625,75,1,16
22,3.42,3.34,90.625,100,2,24
21,2.43,2.9,87.5,100,2,22
23,3.49,3.65,100,100,3,31
22,2.34,3.03,78.125,75,2,25
28,2.48,2.68,87.5,62.5,1,27
23,3.21,2.43,87.5,75,1,26
17,2.1,1.5,75,100,2,24
25,2.82,2.97,90.625,100,2,28
27,3.22,3.71,93.75,87.5,2,37
19,2.1,2.27,90.625,100,2,21
22,1.67,2.68,87.5,87.5,1,31
26,3.64,3.63,78.125,100,2,32
25,2.45,2.59,93.75,100,2,29
20,2.53,2.77,100,100,3,29
16,2.39,3.3,90.625,100,1,27
20,2.63,2.13,87.5,87.5,1,23
24,2.54,2.35,75,87.5,3,30
27,3.54,3.46,81.25,100,2,29
22,1.85,2.08,9.375,87.5,2,23
24,2.44,3.05,46.875,75,3,32
22,3.31,3.55,96.875,100,2,28
20,2.35,2.13,78.125,50,2,30
20,2.22,2.38,84.375,100,3,22
25,3.2,3.73,84.375,100,3,37
21,2.58,2.13,84.375,100,2,17
26,3.61,3.71,90.625,100,2,31
18,2.46,2.55,100,75,1,24
28,3.34,3.13,71.875,100,3,26
17,3.13,3.19,100,87.5,1,23
26,2.79,2.59,87.5,100,2,28
23,2.36,2.79,96.875,100,1,27
28,3.29,3,78.125,100,2,30
20,2.37,2.75,93.75,87.5,1,24
29,3.57,3.25,75,100,2,30
28,2.07,0.7,68.75,12.5,1,28
27,3.2,3.21,96.875,100,1,30
23,1.98,1.81,50,NA,1,25
22,2.8,3.21,87.5,100,2,22
18,2.98,3,96.875,100,2,22
22,2.85,1.85,65.625,75,3,21
20,1.95,2,28.125,37.5,1,26
21,1.89,1.35,75,75,1,22
19,3.29,3.04,96.875,100,1,32
25,2.76,3.18,87.5,100,1,26
23,1.78,3.36,81.25,100,2,34
20,2.89,3,96.875,100,2,26
25,1.95,2.88,62.5,87.5,2,26
27,2.48,3.04,71.875,100,2,30
16,2.3,2.73,90.625,100,1,24
21,1.86,2.78,100,87.5,1,34
24,2.7,2.96,100,87.5,2,30
15,2.28,2.25,90.625,87.5,1,26
19,2.69,2.11,87.5,87.5,2,19
25,2.47,3.27,96.875,100,3,34
19,2.67,2.23,87.5,100,1,22
22,2.4,2.94,96.875,100,1,22
30,3.45,4,93.75,100,3,36
21,2.35,2.32,84.375,87.5,1,27
23,2.92,3.41,78.125,100,3,24
18,2.73,2.29,84.375,100,2,26
19,2.68,1.54,78.125,87.5,2,22
23,3.52,3.56,100,100,2,31
23,1.41,1,31.25,12.5,1,20
20,2.94,2.94,78.125,100,3,30
23,3.32,3.14,96.875,100,2,22
19,2.91,2.75,90.625,75,2,22
24,2.13,2.23,84.375,100,1,26
24,3.11,3.8,93.75,100,2,29
16,2.94,3.54,100,100,1,22
26,3.53,3.75,96.875,100,2,31
22,2.83,3.5,100,100,2,27
26,2.66,2.62,90.625,87.5,2,23
23,2.12,1.76,75,50,2,26
19,2.2,2.36,65.625,87.5,2,22
26,2.25,2.46,65.625,100,1,24
28,3.22,3.73,100,100,2,32
21,2.95,3.23,87.5,100,2,26
17,2.66,2.61,100,87.5,2,31
20,2.41,2.63,87.5,100,2,25
19,2.59,3.08,87.5,100,2,27
19,2.55,1.38,93.75,100,2,17
28,3.48,3.54,93.75,100,2,29
23,2.91,3.15,87.5,87.5,1,26
18,2.28,2.21,90.625,100,2,26
30,2.49,2.18,53.125,62.5,3,24
23,2.94,3.1,100,100,3,25
27,3.11,2.62,81.25,100,2,24
23,2.69,2.4,96.875,100,1,28
28,3.36,3.6,93.75,100,2,21
22,2.12,2.04,81.25,100,2,32
23,2.41,3.12,90.625,100,3,28
19,2.3,3.19,87.5,100,2,22
24,2.07,1.97,78.125,100,2,24
25,3.18,3,100,100,2,33
27,2.62,3.36,96.875,100,1,28
24,1.74,1.79,75,100,1,25
28,3.15,2.97,84.375,100,2,27
22,2.31,2.67,71.875,87.5,2,27
20,2.84,3.16,90.625,87.5,2,26
23,2.07,2.5,81.25,75,2,22
20,2.13,1.71,68.75,87.5,2,21
24,2.55,2.73,90.625,100,2,27
28,2.79,3.58,90.625,100,3,30
20,2.39,2.21,84.375,100,2,26
22,2.19,1.75,56.25,62.5,2,21
20,2.14,2.11,84.375,100,2,23
28,3.84,4,90.625,87.5,2,37
22,3.21,3.14,71.875,87.5,2,24
20,2.68,2.92,78.125,75,2,27
19,2.46,2.29,87.5,100,2,19
24,2.34,2.96,93.75,100,2,25
25,2.62,2.07,75,100,1,21
20,2.61,1.8,93.75,100,3,30
32,3.81,3.73,100,87.5,2,38
18,2.42,2.31,87.5,100,1,19
20,2.45,2.39,90.625,100,2,25
28,2.93,2.96,78.125,100,2,35
24,3.48,3.62,96.875,100,2,32
22,2.96,3.12,96.875,100,2,29
19,2.36,2.31,93.75,100,2,30
24,2.89,1.71,71.875,100,2,22
26,3.02,2.69,96.875,75,3,29
16,2.59,2.43,100,87.5,2,21
15,2.57,2.55,100,100,1,20
24,2.53,2.77,93.75,100,2,29
29,3.66,3.4,87.5,100,2,26
17,2.1,2.5,81.25,87.5,3,21
22,1.81,3,75,75,2,30
16,2.39,2.25,87.5,100,3,19
26,2.03,2.5,46.875,50,2,24
22,2.59,2.05,87.5,87.5,2,24
16,1.92,1.38,90.625,100,1,16
23,1.85,2.73,84.375,87.5,1,25
26,3.54,3.3,87.5,25,3,33
19,2.57,2.79,96.875,100,2,31
26,3.27,3.31,90.625,100,2,27
20,2.44,1.79,93.75,75,2,14
22,2.37,2.97,75,100,1,31
19,2.63,2.13,96.875,100,3,14
25,2.68,3.04,87.5,100,3,24
18,2.5,2.04,65.625,87.5,1,23
21,2.95,2.75,81.25,100,2,25
25,3.16,3.4,100,100,2,29
22,3.13,2.82,100,100,2,19
18,1.98,0.545,65.625,37.5,1,23
28,2.03,1.43,28.125,37.5,2,25
16,1.93,2.15,81.25,87.5,1,27
23,1.88,2.54,75,75,1,24
23,2.86,2.5,81.25,100,2,25
17,2.3,2.38,96.875,100,2,25
13,2.19,1.67,84.375,87.5,2,15
23,2.54,3.21,87.5,100,1,25
22,2.94,2.75,100,100,2,24
25,2.93,2.5,78.125,87.5,2,29
19,2.6,2.9,81.25,100,1,24
20,3.26,2.65,84.375,50,3,29
20,3.29,3.43,100,100,2,22
24,2.19,2.85,65.625,75,1,31
27,3.02,3.21,100,100,2,18
20,2.09,2.25,78.125,100,2,25
24,2.11,2.44,87.5,100,3,22
24,2.83,2.77,75,100,2,32
21,2.35,3.4,71.875,100,3,27
23,2.38,3.46,96.875,100,2,30
25,3.14,3.34,100,100,2,27
22,2.48,2.43,90.625,75,2,22
21,2.52,2.71,90.625,62.5,1,22
24,2.76,2.11,96.875,100,2,26
24,3.7,4,90.625,100,3,39
22,2.08,2.1,75,100,2,30
22,2.39,2.38,53.125,62.5,2,24
21,2.46,2.12,90.625,100,2,18
25,3.7,4,96.875,100,2,35
25,1.99,3.04,84.375,100,2,26
25,2.58,1.11,62.5,87.5,2,28
21,2.67,3.13,96.875,100,2,30
23,1.91,3,84.375,100,1,29
24,1.96,1.8,53.125,NA,2,25
20,2.15,1.68,53.125,87.5,2,24
22,2.94,3,90.625,100,1,24
15,2.11,2.25,84.375,87.5,2,25
25,3.5,3.25,96.875,100,2,30
22,1.84,1.14,37.5,37.5,2,17
24,3.1,2.97,84.375,100,2,25
23,2.8,1.89,78.125,100,2,25
23,1.76,2.67,84.375,100,1,26
22,2.97,3.2,81.25,100,3,29
23,2.37,2.5,84.375,100,1,23
21,1.68,1.79,71.875,100,2,19
17,2.27,2,78.125,87.5,2,22
28,3.1,3.62,84.375,87.5,2,32
16,2.38,2.5,87.5,87.5,3,28
15,2.84,3.05,100,100,2,24
26,3.69,3.64,87.5,100,2,31
25,3.37,3.54,81.25,100,2,31
23,2.17,2.86,71.875,75,1,28
23,3.6,3.68,100,100,2,31
26,3.28,3.23,87.5,100,2,29
25,3.49,3.15,93.75,100,2,18
21,2.84,3.11,84.375,100,2,31
24,2.92,2.59,78.125,62.5,2,28
24,2.75,2.79,100,100,2,25
24,3.17,3.04,78.125,75,2,26
22,2.44,2.18,84.375,87.5,1,22
22,2.35,2.81,87.5,100,3,22
18,2.19,2.9,100,100,2,24
28,3.28,3.5,93.75,100,2,33
25,2.25,2.17,56.25,87.5,2,36
31,1.59,1.35,46.875,50,2,21
23,1.65,0.792,65.625,62.5,1,23
19,2.62,3.19,75,100,1,34
23,3.29,3.38,100,100,2,29
25,1.43,1.85,56.25,75,3,27
24,3.39,2.63,75,75,3,27
21,2.39,2.04,78.125,100,2,22
25,2.24,4,93.75,100,2,35
31,3.87,3.86,100,100,2,34
18,2.9,3.07,100,100,2,23
23,2.64,2.65,90.625,100,2,19
31,2.25,2.5,31.25,37.5,2,35
23,2.18,3.63,84.375,100,3,29
23,2.46,1.63,59.375,100,2,24
28,2.67,2.65,53.125,87.5,2,26
22,3.25,2.81,90.625,100,2,30
23,2.43,2.38,81.25,100,1,26
20,2.23,1.65,50,50,1,22
24,2.63,2.67,56.25,100,1,24
22,1.98,1.68,53.125,75,2,13
27,1.8,2.31,18.75,50,2,28
21,2.81,3,84.375,100,1,30
21,2.27,2.64,75,100,2,22
22,2.77,2,81.25,100,3,19
26,2.08,1.62,46.875,87.5,2,19
25,2.5,2.69,87.5,100,1,28
31,3.81,3.95,93.75,100,2,36
21,2.57,1.62,90.625,62.5,3,25
20,1.93,2.43,93.75,100,3,17
24,2.51,2.5,87.5,100,3,28
20,2,3.46,87.5,100,1,35
23,2.59,3.09,100,100,3,33
24,2.61,2.33,71.875,75,3,19
25,2.51,1.23,37.5,37.5,3,21
27,2.15,3.25,81.25,100,2,32
27,1.91,1.77,15.625,50,2,25
29,3.92,4,93.75,100,2,37
25,2.84,2.63,78.125,100,2,22
24,3.31,3.7,84.375,100,2,31
21,2.04,1.96,87.5,87.5,2,17
19,1.84,1.17,43.75,50,3,28
24,2.97,2.88,87.5,100,3,27
18,2.36,2.33,87.5,100,2,22
19,2.15,2,71.875,100,2,17
20,2,2.15,87.5,100,2,23
15,1.74,1.88,84.375,87.5,1,27
21,2.7,2.9,100,100,1,23
28,3.59,3.5,90.625,100,3,35
21,2.75,2.41,78.125,100,3,23
19,2.74,2.38,90.625,100,3,25
16,2.48,3.04,68.75,100,3,24
27,2.48,2.41,96.875,87.5,2,25
18,2.44,2.45,90.625,75,2,23
27,2.86,3.66,81.25,87.5,2,30
28,2.02,1.53,31.25,25,2,32
21,1.97,1.89,84.375,100,1,21
24,2.82,3.7,71.875,100,2,34
28,3.9,4,100,100,3,38
19,2.42,2.33,87.5,87.5,1,17
25,2.5,2.85,75,75,2,31
15,2.13,2,75,62.5,3,26
27,3.8,3.62,93.75,100,2,31
23,3.02,2.4,96.875,100,2,27
28,3.5,3.71,93.75,87.5,2,35
23,3.32,3.54,100,100,3,32
19,2.84,3.57,100,100,2,26
19,2.74,3.11,96.875,87.5,1,24
22,2.03,2.13,87.5,87.5,2,19
24,3.23,3.5,96.875,100,2,28
27,2.19,3.31,84.375,100,1,26
21,2.24,2.25,71.875,87.5,2,24
23,2.15,2.38,78.125,62.5,1,28
25,2.32,1.46,87.5,75,3,32
19,2.94,3.04,87.5,100,3,27
23,2.7,2.68,71.875,75,2,21
25,1.2,1.11,43.75,87.5,1,18
21,1.74,0.692,84.375,100,2,19
16,2.8,2.96,90.625,100,2,23
23,2.46,2.37,78.125,87.5,2,32
19,2.2,2.25,78.125,100,1,24
26,2.6,2.25,84.375,62.5,2,31
16,2.21,2.5,93.75,87.5,1,29
18,2.17,2,87.5,87.5,3,21
23,2.6,3,81.25,87.5,2,23
28,2.94,2.13,18.75,37.5,3,29
25,2.71,1.23,84.375,75,3,26
16,1.8,2,81.25,100,2,26
19,2.59,3.5,87.5,100,1,29
24,2.64,2,53.125,75,2,24
25,2.1,2.32,75,87.5,1,30
24,2.49,1.9,81.25,87.5,2,20
22,2.43,2.5,93.75,100,2,19
25,2.9,3.29,78.125,75,2,35
23,2.91,2,90.625,75,3,20
27,2.98,3.41,90.625,87.5,2,35
19,2.39,1.5,65.625,87.5,2,24
27,3.04,3.5,90.625,100,1,28
21,1.74,0.567,59.375,50,1,23
25,3.5,3.19,90.625,87.5,2,32
17,2.54,1.88,87.5,100,2,20
17,2.45,2,100,100,2,29
31,2.98,2.62,81.25,75,1,22
22,1.96,2.82,90.625,87.5,1,26
20,2.02,3.14,87.5,100,2,20
20,1.91,2.85,100,100,2,27
17,2.3,2.13,96.875,87.5,3,20
19,2.56,2.64,84.375,87.5,1,19
20,2.21,2.12,84.375,87.5,3,19
17,2.12,3.35,75,100,3,29
25,3.09,2.73,81.25,100,2,22
20,1.5,3,96.875,100,1,22
17,1.98,1.75,62.5,87.5,1,22
25,2.82,2.88,87.5,100,3,21
28,3.12,3.23,71.875,87.5,2,30
21,2.68,2.96,96.875,100,2,24
23,2.58,2.32,37.5,50,2,20
21,2.26,2.54,90.625,100,2,24
26,2.47,0.333,37.5,NA,3,23
18,2.26,1.82,84.375,100,2,17
21,3.21,3.34,96.875,100,2,28
22,2.66,2.9,90.625,100,3,29
23,3,2.92,81.25,62.5,2,25
23,3.25,3.16,90.625,100,2,26
21,2.83,3.05,93.75,100,3,19
22,2.84,2.54,68.75,100,2,33
22,1.95,2.1,90.625,100,3,30
25,3.53,3.77,93.75,100,3,27
27,1.75,1.25,46.875,25,2,28
25,2.27,2.65,90.625,100,2,17
19,2.04,2.3,78.125,100,2,21
21,1.32,1.07,90.625,87.5,1,16
24,2.71,2.56,78.125,100,3,24
22,1.88,2.54,65.625,62.5,1,30
23,2.67,2.91,96.875,100,1,28
19,2.92,3,81.25,100,3,24
18,1.34,2.43,90.625,100,1,21
26,2.68,3.21,96.875,87.5,2,32
24,2.29,1.6,31.25,50,2,17
24,2.39,2.85,90.625,100,2,29
29,3.6,3.03,71.875,100,2,31
27,2.56,3.04,81.25,100,2,30
23,2.61,1.69,84.375,100,3,20
24,2.75,1.95,84.375,75,1,30
20,2.38,1.93,65.625,100,2,28
27,2.75,1.81,56.25,62.5,2,27
21,3.13,2.86,84.375,25,2,11
26,2.63,3.25,84.375,100,2,30
20,2.62,2.5,87.5,87.5,2,23
17,2.29,2.39,84.375,75,1,30
32,2.89,2.53,50,87.5,2,29
25,1.25,2.65,71.875,87.5,1,29
23,2.51,3.42,68.75,100,3,26
22,2.46,2.68,81.25,100,1,24
20,1.82,1.79,59.375,75,2,25
27,1.52,1.35,28.125,NA,1,30
21,3,3.38,93.75,100,2,16
27,2.14,0.45,12.5,NA,3,25
22,3.23,3.88,100,100,3,30
20,2.38,2.85,96.875,100,1,29
20,1.88,2.31,87.5,87.5,1,24
23,2.77,2.65,87.5,100,2,28
25,2.61,2.86,78.125,62.5,3,25
20,2.01,1.63,78.125,25,3,27
26,2.89,3.07,100,100,3,31
22,2.16,2.12,59.375,87.5,2,31
25,3.81,4,100,100,2,36
22,2,1.96,78.125,75,1,28
19,1.89,1.77,87.5,87.5,1,17
23,2.12,2.69,75,87.5,2,28
25,2.88,2.97,100,100,3,30
22,3.05,3.27,96.875,87.5,2,32
22,2.23,2.31,84.375,100,2,22
22,2.11,1.88,93.75,87.5,2,24
18,2.61,2.25,84.375,87.5,1,24
31,2.98,2.75,90.625,75,2,35
27,2.73,1.79,81.25,75,1,24
24,3.93,3.86,100,100,2,34
24,1.99,2.08,65.625,87.5,3,23
23,2.76,2.96,87.5,100,1,31
18,1.83,2.23,81.25,100,2,21
20,2.58,2.46,78.125,100,2,21
28,2.12,1.7,81.25,87.5,1,26
23,2.68,3.13,93.75,100,1,29
16,2.02,2.38,84.375,100,2,21
20,2.06,2.75,50,75,2,22
22,2.27,2.64,84.375,100,1,19
24,3.04,2.46,40.625,87.5,2,24
26,1.6,0.667,15.625,12.5,1,23
18,2.71,2.82,100,100,2,29
24,1.74,0,34.375,12.5,2,27
19,1.66,2.68,100,100,1,23
23,2.22,0.625,78.125,100,3,24
23,3.05,2.89,90.625,100,2,25
22,2.06,1.96,40.625,37.5,3,25
18,2.9,2.47,84.375,87.5,3,27
22,2.63,3.1,93.75,100,2,25
23,2.28,2.15,87.5,100,1,27
21,1.79,0.321,28.125,62.5,3,26
26,2.8,2.7,65.625,100,3,22
26,2.91,3.13,93.75,87.5,2,29
20,1.6,3.12,59.375,75,1,33
26,1.35,2.63,53.125,62.5,3,23
25,3.18,2.96,93.75,100,2,28
20,2.92,2.8,96.875,100,2,22
27,3.05,3.86,96.875,100,3,34
24,3.09,2.9,90.625,100,2,22
16,2.6,2.43,56.25,37.5,2,29
17,2.43,2.89,93.75,100,1,28
25,2.67,2.38,75,75,1,21
25,1.63,0.867,43.75,62.5,2,23
20,2.65,2.5,93.75,100,1,24
23,3.25,3.55,96.875,100,2,27
20,3.65,3.5,87.5,50,1,29
23,2.05,1.61,93.75,87.5,2,18
23,2.16,2.69,84.375,100,2,25
22,1.55,2.65,59.375,62.5,1,34
20,2.75,2.85,90.625,100,3,28
18,2.66,2.25,96.875,100,2,25
23,2.8,2.96,87.5,100,3,32
17,3.08,3.64,90.625,100,2,31
20,2.14,2.63,84.375,75,2,21
27,3.49,3.46,90.625,100,3,29
25,1.43,2,37.5,75,3,24
19,2.43,2.5,87.5,100,1,23
21,2.3,2.9,96.875,100,2,16
18,2.78,2.77,93.75,100,2,27
18,2.36,2.29,78.125,62.5,2,23
22,2.86,2.5,81.25,87.5,3,23
24,2.8,2.83,93.75,100,2,25
25,2.42,3.07,100,100,2,26
26,3.88,3.25,93.75,100,2,32
29,3.28,3.62,81.25,100,1,36
15,1.98,2.81,93.75,100,1,28
19,2.96,3,100,100,2,26
27,2.86,2.69,90.625,100,2,25
22,2.16,1.18,87.5,100,2,29
19,2.3,1.93,96.875,100,1,21
22,1.48,0.923,46.875,12.5,1,19
26,2.98,3.5,93.75,87.5,2,27
26,3.48,2.79,78.125,100,2,26
24,1.67,0.6,46.875,37.5,2,22
26,3.91,2.8,87.5,100,1,29
20,3.25,2.9,100,100,3,25
19,2.25,2.5,87.5,87.5,3,22
21,2.66,2.6,96.875,100,2,25
27,2.48,2.63,46.875,100,2,26
28,3.07,2.33,84.375,62.5,2,28
20,2.5,3.64,93.75,100,2,32
17,2.67,2.79,96.875,100,1,21
27,2.95,1.23,50,12.5,2,24
18,2.57,2.65,93.75,100,2,25
20,2.5,2.39,93.75,75,1,23
25,2.54,2.63,93.75,100,1,26
21,2.17,3.08,87.5,87.5,1,26
23,2.66,1.94,93.75,100,1,20
18,2.2,2.63,78.125,100,3,25
20,3.36,3.04,93.75,100,2,23
23,2.24,1.85,50,37.5,2,22
24,2.03,2.93,84.375,37.5,2,28
22,3.1,2.92,75,100,2,24
22,2,2.2,50,12.5,2,29
21,1.8,0.8,31.25,12.5,2,17
20,2.52,2.25,87.5,75,3,24
30,2.97,3.47,93.75,100,2,35
20,2.27,2.05,34.375,75,1,22
25,3.13,3.42,84.375,87.5,1,24
25,2.16,2.11,84.375,87.5,3,31
20,2.06,2.47,62.5,87.5,1,27
20,2.11,1.14,56.25,37.5,2,18
22,2.01,0.625,31.25,50,2,24
27,3.24,3.21,84.375,100,2,22
23,3.53,3.77,96.875,100,2,28
17,2.41,2.86,100,100,2,29
24,2.62,3.27,93.75,100,2,28
25,3.13,2.79,96.875,100,3,31
22,2.95,3.27,100,100,2,30
22,2.95,2.74,87.5,87.5,3,26
27,3.66,3.89,90.625,100,2,28
23,2.05,2.07,53.125,62.5,1,24
27,3.08,3.88,81.25,100,3,36
22,2.28,2.81,56.25,87.5,2,24
19,2.39,2.54,87.5,100,1,22
20,2.56,3.75,100,100,1,29
20,2.21,1.75,96.875,100,3,23
26,2.86,2.8,56.25,75,2,25
26,2.95,3.37,75,75,2,28
21,3,3.25,93.75,100,1,27
28,3.41,3.7,96.875,100,2,34
21,3,3.04,100,100,2,28
21,1.38,1.77,81.25,100,1,21
27,2.27,1.88,65.625,37.5,1,20
28,2.42,2.39,78.125,62.5,1,23
20,2.62,2.97,71.875,100,2,34
24,3.01,2.42,90.625,100,3,26
19,1.95,0.462,50,62.5,3,22
24,2.83,3.11,96.875,100,2,25
20,3.05,2.88,75,87.5,2,31
22,2.51,2.1,56.25,50,3,21
23,1.48,1.32,53.125,62.5,2,22
20,1.94,1.77,90.625,100,2,26
21,2.46,2.64,87.5,100,2,26
28,3.5,3.35,71.875,87.5,2,26
23,2.18,1.25,59.375,37.5,3,22
21,2.48,3.18,96.875,100,3,27
27,3.33,3.11,56.25,37.5,2,32
26,2.83,3,84.375,100,3,27
22,2.65,2.65,81.25,87.5,2,27
15,2.5,2.05,96.875,100,2,16
25,3.78,3.77,96.875,100,2,34
19,3.54,3.57,100,100,2,26
27,3.07,2.97,90.625,87.5,2,25
28,3.72,3.27,93.75,87.5,2,30
24,2.48,2.46,71.875,100,3,28
24,3.1,2.75,81.25,100,3,26
23,3.5,3.43,96.875,100,2,26
22,1.96,2.73,75,100,2,22
18,1.84,0.85,59.375,50,3,26
27,2.73,2.61,96.875,87.5,2,23
27,3.48,3.41,90.625,100,2,26
18,2.31,1,78.125,100,2,22
19,2.38,2.69,100,100,2,19
22,3.61,3.66,100,100,2,30
24,3.02,3.17,87.5,100,2,27
24,1.19,1.8,43.75,62.5,1,29
