wage,hours,IQ,educ,exper,tenure,age,married,south,urban,sibs,brthord,meduc,feduc
477,45,100,12,9,3,31,1,1,0,3,3,7,7
453,50,94,12,9,2,30,1,1,0,6,4,7,7
393,48,92,12,15,16,38,1,1,1,1,1,8,7
692,40,108,12,21,11,38,1,0,1,3,1,8,7
808,40,106,12,4,3,29,1,0,1,1,2,8,7
935,44,97,12,10,6,29,1,0,1,2,2,8,7
433,50,100,12,5,9,37,1,0,0,2,2,8,7
668,43,109,12,11,12,29,1,0,0,2,3,8,7
417,40,80,12,8,0,30,0,1,1,3,4,8,7
350,40,109,12,14,1,36,1,0,0,1,1,9,7
577,40,92,15,8,1,28,1,1,1,1,2,10,7
670,50,108,12,14,8,34,1,1,1,5,1,11,7
1000,48,105,12,11,4,28,1,1,0,0,1,12,7
774,40,94,12,20,4,37,1,0,0,1,1,12,7
575,40,96,11,17,1,35,1,1,1,2,1,12,7
760,40,88,12,12,15,31,1,1,1,2,1,12,7
923,40,110,16,15,11,37,1,0,0,2,1,12,7
1154,42,88,12,14,12,29,1,1,1,2,2,12,7
1000,40,96,16,9,1,31,0,1,1,4,2,12,7
753,46,70,10,21,7,38,1,1,1,4,2,12,7
1500,40,103,12,10,11,34,1,0,1,2,3,12,7
1122,35,132,18,13,8,32,1,1,1,2,3,12,7
909,40,102,12,14,5,33,1,0,1,3,3,12,7
1250,40,114,16,8,8,30,1,0,1,5,3,2,8
596,40,62,12,16,14,33,1,1,0,9,8,2,8
400,70,100,12,12,3,32,1,0,1,3,2,5,8
445,40,91,12,11,4,32,1,1,0,0,1,6,8
1261,40,117,17,1,9,35,1,0,1,4,1,6,8
958,50,105,10,17,2,35,1,0,1,1,2,6,8
800,40,96,12,17,12,35,1,0,1,1,2,6,8
797,41,89,12,10,7,36,1,1,0,1,2,7,8
800,40,115,12,20,12,38,1,0,0,7,6,7,8
645,45,93,12,11,3,35,1,1,0,7,7,7,8
800,40,115,18,11,1,35,1,1,1,0,1,8,8
800,50,92,9,18,13,34,1,0,1,0,1,8,8
692,50,92,15,9,3,38,1,0,1,0,1,8,8
1200,40,79,17,9,9,32,1,0,1,0,1,8,8
1539,45,120,17,7,8,34,1,0,1,1,1,8,8
990,40,67,12,16,3,34,1,0,1,2,1,8,8
857,65,99,12,18,3,38,1,1,1,2,1,8,8
962,55,108,12,19,21,36,1,0,1,3,1,8,8
769,40,93,12,11,2,31,1,0,1,1,2,8,8
600,40,91,10,13,0,30,0,0,1,1,2,8,8
1455,40,109,16,8,13,36,1,0,1,1,2,8,8
1299,60,125,18,6,12,35,0,0,1,1,2,8,8
923,50,122,16,10,10,31,1,0,0,1,2,8,8
769,40,100,12,18,12,36,1,0,0,1,2,8,8
988,48,91,12,15,15,36,1,1,1,1,2,8,8
1105,40,93,11,17,16,37,0,0,1,2,2,8,8
577,55,108,16,4,0,31,1,1,1,2,2,8,8
1634,40,94,13,18,18,36,1,1,1,2,2,8,8
1442,40,113,16,8,10,35,1,1,1,2,2,8,8
693,40,79,11,18,3,38,1,0,0,3,2,8,8
549,49,79,12,11,3,32,0,0,0,4,2,8,8
865,40,114,12,6,8,30,1,0,0,2,3,8,8
1100,40,91,12,18,10,36,1,0,0,2,3,8,8
698,43,97,12,10,4,29,1,0,1,2,3,8,8
1418,45,102,12,19,20,36,1,1,1,2,3,8,8
450,40,95,11,12,2,30,1,1,0,2,3,8,8
721,40,134,13,9,9,30,0,1,1,3,3,8,8
596,40,83,12,16,17,34,1,0,0,3,3,8,8
865,40,85,13,4,9,34,1,1,1,3,3,8,8
1200,40,96,11,15,3,37,1,0,1,4,3,8,8
600,40,96,11,7,2,29,1,1,1,4,3,8,8
600,40,114,12,8,5,30,1,1,1,6,3,8,8
550,40,77,12,15,2,37,1,0,0,6,3,8,8
750,40,94,12,16,3,37,1,0,1,7,3,8,8
905,45,109,14,11,14,36,1,0,1,3,4,8,8
1559,40,103,12,17,10,34,1,0,1,3,4,8,8
793,40,96,12,17,18,36,1,0,0,4,5,8,8
829,40,98,12,15,15,36,1,0,1,4,5,8,8
1039,40,114,16,1,9,31,0,1,1,6,5,8,8
821,45,85,16,8,2,32,1,0,1,5,6,8,8
808,40,99,12,18,13,38,1,0,1,0,1,9,8
865,40,95,12,15,11,32,0,0,1,3,1,9,8
1495,45,109,18,10,3,32,1,0,1,3,1,9,8
781,40,89,11,13,10,30,1,0,1,3,1,9,8
625,40,110,12,18,0,35,1,0,1,4,1,9,8
1260,45,79,12,19,15,37,1,0,0,3,2,9,8
923,50,107,16,9,8,33,1,0,1,6,4,9,8
894,40,104,18,7,10,35,1,1,0,7,8,9,8
751,40,96,12,9,7,38,1,0,0,1,1,10,8
525,40,99,12,9,2,34,1,0,1,2,1,10,8
962,40,97,12,15,4,34,1,1,0,5,1,10,8
770,48,91,12,13,2,38,1,0,1,1,2,10,8
1442,40,112,12,19,15,36,1,0,1,3,2,10,8
850,40,72,11,19,10,38,1,0,1,2,3,10,8
670,40,88,12,9,2,29,1,0,1,7,3,10,8
800,45,98,12,16,12,33,1,0,0,3,4,10,8
1200,50,99,12,11,11,28,1,0,1,5,4,10,8
769,40,98,16,8,3,35,0,1,1,0,1,11,8
769,55,120,18,8,12,32,0,0,1,1,1,11,8
1375,40,96,13,3,3,30,1,0,1,3,1,11,8
800,40,88,10,21,14,37,1,0,1,8,1,11,8
1035,48,107,12,21,14,38,1,0,1,1,2,11,8
1250,50,102,12,6,2,32,0,0,1,4,2,11,8
1573,55,90,12,5,3,30,1,0,1,4,3,11,8
1920,40,109,12,13,2,31,1,0,0,0,1,12,8
1161,40,99,13,16,18,36,1,0,1,0,1,12,8
1312,40,118,10,14,4,32,1,0,1,0,1,12,8
1151,45,90,12,19,19,36,1,0,1,1,1,12,8
513,45,119,17,8,5,31,0,0,1,1,1,12,8
529,40,110,13,14,11,32,1,0,0,1,1,12,8
1188,40,93,13,16,5,35,1,0,1,2,1,12,8
840,50,96,12,18,13,35,1,0,1,2,1,12,8
840,40,105,12,19,15,38,1,0,0,3,1,12,8
1212,40,95,12,6,16,38,1,1,0,3,1,12,8
375,60,75,12,12,5,30,0,0,0,4,1,12,8
1000,65,93,12,11,9,29,1,0,1,7,1,12,8
832,50,104,13,4,2,30,1,0,1,1,2,12,8
1325,45,97,12,12,5,28,1,0,1,1,2,12,8
1730,50,117,18,12,12,37,1,0,1,1,2,12,8
1386,40,97,10,17,9,37,1,1,1,1,2,12,8
812,45,115,16,11,3,34,1,0,1,1,2,12,8
1699,40,100,12,11,9,33,1,0,1,1,2,12,8
781,50,112,12,8,10,30,1,0,1,2,2,12,8
1749,43,101,12,16,17,36,1,0,0,2,2,12,8
481,40,82,12,9,2,32,1,1,0,2,2,12,8
693,40,68,12,11,19,35,1,1,0,5,2,12,8
940,48,104,12,13,0,32,1,0,1,7,2,12,8
1495,45,113,17,13,9,33,1,0,1,3,3,12,8
1155,40,109,17,13,4,38,1,0,0,3,3,12,8
1038,50,119,12,20,5,36,1,0,0,3,3,12,8
800,40,122,16,10,2,31,0,1,1,3,3,12,8
962,40,120,16,6,4,28,1,0,0,4,3,12,8
1500,40,101,13,13,2,32,1,1,1,5,3,12,8
1151,40,98,12,12,12,29,1,0,1,3,4,12,8
500,40,98,13,14,5,32,1,0,0,3,4,12,8
1000,43,69,12,15,16,35,1,0,1,4,4,12,8
745,40,94,13,17,1,36,0,0,0,2,3,13,8
310,40,104,13,10,0,33,0,0,0,2,1,14,8
984,40,108,13,17,18,37,1,0,1,4,1,15,8
971,40,95,17,5,11,37,1,0,1,1,2,16,8
973,36,81,13,11,5,32,1,1,1,0,1,6,9
960,40,107,12,11,9,29,1,1,1,11,2,6,9
1442,40,110,13,13,13,29,1,1,1,1,2,7,9
553,40,67,12,11,10,30,1,1,0,7,2,8,9
571,40,78,13,10,1,29,0,0,1,5,5,8,9
1000,40,96,11,15,15,37,1,0,1,5,5,8,9
1212,40,129,14,9,3,32,0,0,1,6,7,8,9
478,45,90,10,19,10,34,1,1,1,2,1,9,9
652,50,113,12,14,4,36,0,0,1,1,2,9,9
1346,50,128,16,10,1,33,0,0,0,3,1,10,9
1027,27,100,13,12,15,38,1,0,1,3,3,10,9
650,40,69,12,14,11,30,1,0,1,3,4,10,9
1202,40,84,14,6,5,31,1,0,1,2,1,11,9
1444,40,109,15,11,1,29,1,1,1,2,1,11,9
1391,50,109,12,14,8,32,1,1,1,1,2,11,9
794,40,114,16,9,7,29,1,0,1,1,2,11,9
750,60,74,10,13,9,30,1,0,1,4,2,11,9
1225,40,118,13,9,14,32,1,0,1,0,1,12,9
1411,45,111,16,11,12,32,1,1,1,1,1,12,9
1076,38,106,12,19,20,36,1,1,1,1,1,12,9
750,50,103,15,1,1,37,1,1,0,1,1,12,9
850,40,105,12,6,2,33,1,0,1,1,1,12,9
1154,40,116,15,11,12,34,0,0,0,2,1,12,9
855,45,119,16,11,4,32,1,0,1,3,1,12,9
650,40,97,10,14,9,30,1,1,0,5,1,12,9
1749,40,108,12,13,9,29,0,0,1,7,1,12,9
937,40,104,12,14,15,32,1,1,0,1,2,12,9
583,58,113,16,9,0,30,1,0,1,2,2,12,9
442,60,82,12,12,0,33,1,0,1,2,3,12,9
654,50,111,13,5,16,38,1,0,1,3,3,12,9
951,60,116,12,9,7,30,1,0,1,4,5,12,9
891,40,90,12,16,16,32,1,1,0,5,5,12,9
884,40,108,17,9,11,35,1,0,1,3,2,14,9
1058,40,94,14,13,14,34,1,0,1,0,1,15,9
1050,50,97,15,4,9,31,1,1,1,2,1,16,9
865,40,66,11,10,7,30,1,0,1,14,4,0,10
510,54,62,11,13,4,33,0,1,1,7,6,2,10
642,35,87,13,9,3,30,1,1,0,10,10,4,10
884,40,106,10,19,12,34,1,0,1,2,1,7,10
952,40,99,13,10,10,31,1,0,1,1,1,8,10
1001,40,109,12,20,22,37,1,0,1,1,1,8,10
475,52,98,14,12,1,30,0,0,1,6,1,8,10
1100,40,122,14,11,8,33,1,0,1,2,3,8,10
900,40,86,12,17,15,37,1,0,1,5,3,8,10
882,44,96,12,15,13,31,1,0,0,6,3,8,10
2404,50,96,14,1,1,36,1,0,1,5,5,8,10
418,40,76,12,12,2,31,1,1,0,0,1,9,10
903,40,91,12,6,12,36,1,0,1,5,4,9,10
1550,40,104,12,16,1,34,1,1,0,8,4,9,10
1126,40,116,12,5,0,31,1,0,1,9,5,9,10
2162,40,124,18,10,8,32,1,1,1,1,1,10,10
800,43,96,12,10,1,29,1,1,0,1,1,10,10
962,40,110,12,16,8,33,1,0,1,2,1,10,10
1318,38,119,16,7,2,28,1,0,1,3,1,10,10
1000,60,101,12,11,6,30,1,0,1,3,1,10,10
714,35,125,16,7,5,28,1,0,1,4,1,10,10
873,65,95,12,14,3,38,1,0,1,5,1,10,10
1130,50,105,12,18,2,37,1,0,1,4,2,10,10
700,45,99,12,15,7,32,1,1,0,4,2,10,10
1575,40,117,12,13,2,30,1,0,1,3,3,10,10
1452,35,69,16,12,15,38,1,0,1,7,6,10,10
1111,45,118,15,11,3,32,1,0,1,3,1,11,10
1105,40,119,16,9,10,30,0,1,1,5,1,11,10
750,40,106,14,9,9,29,1,0,1,1,2,11,10
1377,37,118,16,15,1,36,1,0,1,2,2,11,10
480,40,76,12,17,3,35,0,1,1,8,5,11,10
1100,50,117,16,11,12,32,1,0,0,0,1,12,10
800,25,75,13,14,1,38,1,1,1,0,1,12,10
1009,40,118,16,11,12,32,1,1,0,0,1,12,10
1126,40,119,16,5,8,32,1,0,1,1,1,12,10
1223,40,107,12,7,3,28,1,0,0,1,1,12,10
654,50,113,17,1,13,33,1,0,0,1,1,12,10
1250,40,92,16,10,11,32,0,1,1,1,1,12,10
996,50,114,12,5,14,31,1,0,1,2,1,12,10
1346,40,134,15,15,7,35,1,0,1,2,1,12,10
1075,40,115,14,9,10,30,1,0,0,2,1,12,10
815,40,114,12,15,14,31,1,0,0,2,1,12,10
1188,40,105,12,11,7,30,1,0,1,3,1,12,10
1000,45,118,14,9,7,30,1,0,1,3,1,12,10
1000,40,112,14,15,4,35,1,0,1,4,1,12,10
1346,50,108,16,9,4,36,1,0,1,1,2,12,10
650,40,99,12,13,10,30,1,1,0,1,2,12,10
1442,60,117,16,9,3,31,1,1,1,1,2,12,10
940,45,102,14,11,7,36,1,0,1,1,2,12,10
808,60,109,13,14,12,38,1,0,1,2,2,12,10
888,50,105,15,9,5,32,0,0,1,2,2,12,10
751,40,114,13,9,2,28,1,1,1,2,2,12,10
1049,55,120,12,9,11,32,1,0,1,3,2,12,10
1522,46,102,12,15,16,37,1,0,0,3,2,12,10
721,40,105,12,11,9,30,1,0,0,3,2,12,10
1375,40,103,12,12,7,29,1,0,1,4,2,12,10
513,40,104,16,8,10,33,1,1,0,5,2,12,10
1442,40,114,12,16,17,33,1,0,1,2,3,12,10
1360,45,109,15,6,9,36,1,0,1,3,3,12,10
1000,45,123,12,12,1,29,1,0,1,3,3,12,10
1049,50,112,14,6,10,32,1,0,0,3,3,12,10
900,40,80,10,15,14,38,1,1,0,3,3,12,10
1081,40,92,13,8,2,30,1,1,1,3,4,12,10
1025,40,104,12,12,7,29,1,0,1,3,4,12,10
800,50,110,14,8,5,28,1,0,1,3,4,12,10
550,40,95,12,4,1,30,0,0,0,3,4,12,10
1250,32,98,12,17,2,33,1,0,1,0,1,14,10
1026,60,105,16,12,1,35,1,0,1,3,1,14,10
686,55,106,10,15,3,36,1,1,1,4,5,14,10
445,45,110,12,15,13,32,0,0,1,2,2,5,11
289,40,94,12,9,0,30,1,0,1,2,3,5,11
562,40,74,11,14,5,34,1,0,1,10,6,6,11
1082,40,111,13,20,12,36,1,0,1,4,2,8,11
962,50,124,16,7,14,34,1,0,1,2,2,9,11
650,40,100,12,4,3,28,1,0,1,6,2,9,11
1200,42,119,16,11,5,30,1,0,1,5,1,10,11
1230,50,96,13,11,12,30,1,0,1,3,2,10,11
480,40,83,12,9,3,37,1,1,1,4,3,10,11
115,50,108,12,9,3,29,1,0,1,5,6,10,11
651,40,76,11,11,2,29,1,0,1,7,7,10,11
1053,38,114,16,12,7,32,1,0,1,0,1,11,11
1903,48,118,18,13,5,36,1,0,0,0,1,11,11
1235,40,82,12,10,2,33,1,0,1,1,1,11,11
1053,40,90,12,18,7,37,1,1,0,1,1,11,11
720,50,101,13,1,7,29,1,0,1,4,2,11,11
465,43,84,13,10,1,29,1,0,1,3,3,11,11
1075,40,103,12,17,10,33,1,0,1,13,3,11,11
1339,38,96,12,8,9,33,1,0,1,0,1,12,11
958,60,98,12,11,9,28,1,0,1,0,1,12,11
1000,40,95,12,16,16,36,1,0,1,1,1,12,11
1000,50,104,16,11,8,30,1,0,1,1,1,12,11
433,40,98,12,11,10,30,0,0,1,1,1,12,11
550,46,95,12,18,15,35,1,0,1,1,1,12,11
824,42,92,12,19,15,38,1,0,1,1,1,12,11
641,45,125,14,9,0,37,1,0,1,1,1,12,11
562,55,90,13,4,1,38,1,1,0,1,1,12,11
586,60,111,18,6,10,34,1,0,0,3,1,12,11
938,50,130,14,15,1,33,1,0,0,3,1,12,11
727,55,97,12,11,11,31,1,0,0,3,1,12,11
1160,40,92,12,8,8,31,1,0,0,4,1,12,11
1097,50,80,11,12,12,28,1,0,0,5,1,12,11
500,45,115,12,14,1,32,1,0,1,1,2,12,11
1122,60,102,17,7,13,32,1,1,1,2,2,12,11
1541,40,94,12,8,1,32,1,0,1,8,3,12,11
1034,40,97,12,15,16,36,1,0,1,14,10,14,11
540,50,113,12,12,3,31,1,0,0,5,4,6,12
779,40,84,12,9,6,30,1,0,1,0,1,8,12
1318,35,118,16,16,17,37,1,0,0,1,1,8,12
1273,55,84,18,14,4,37,1,0,1,1,1,8,12
1442,40,132,17,8,1,33,1,1,1,3,1,8,12
850,43,113,12,7,3,28,1,0,1,1,2,8,12
1832,40,97,12,16,1,36,1,0,1,1,2,8,12
575,40,116,12,11,9,29,1,1,0,1,2,8,12
1063,40,90,12,14,12,32,1,0,1,2,2,8,12
940,45,98,18,10,7,31,1,1,1,2,2,8,12
618,42,104,12,6,2,30,1,0,1,3,2,8,12
865,40,130,16,5,3,30,1,0,1,4,2,8,12
1000,40,110,12,6,12,37,1,0,1,5,2,8,12
800,55,106,12,17,18,36,1,0,0,3,3,8,12
1170,47,123,14,9,14,32,1,0,1,3,4,8,12
1442,40,108,12,17,17,36,1,1,1,1,1,9,12
1058,40,85,12,18,19,35,1,0,1,2,1,9,12
1122,48,111,15,12,9,31,1,0,1,3,1,9,12
865,40,110,16,1,11,31,1,0,1,3,1,9,12
1126,40,110,12,16,2,32,1,0,1,6,1,9,12
962,40,85,10,15,16,38,1,0,1,1,2,9,12
889,36,116,12,12,11,28,1,1,1,1,2,9,12
962,40,93,12,15,1,30,1,0,1,2,2,9,12
600,40,127,12,8,3,28,0,1,0,2,2,9,12
947,48,104,18,8,13,35,1,0,0,3,2,9,12
808,40,97,16,10,7,29,1,0,1,3,3,9,12
802,40,99,12,13,12,29,1,1,1,8,6,9,12
525,40,106,12,12,13,30,1,0,0,1,1,10,12
525,40,100,13,5,1,31,1,1,0,1,1,10,12
1104,54,96,12,11,4,29,1,1,0,1,2,10,12
795,45,88,12,17,18,35,1,0,0,2,2,10,12
800,40,105,14,12,12,37,1,0,0,3,2,10,12
1000,40,102,16,13,11,35,1,0,1,6,2,10,12
1049,44,122,16,7,3,33,1,0,0,3,3,10,12
1000,45,90,12,16,0,38,1,0,1,6,3,10,12
803,40,120,13,4,1,28,1,1,1,3,4,10,12
500,55,86,12,11,9,29,1,0,0,5,5,10,12
1778,40,109,16,14,13,36,1,0,1,0,1,11,12
750,43,94,14,12,10,33,1,0,0,1,1,11,12
762,58,104,15,6,4,33,1,0,0,2,1,11,12
1200,40,109,15,7,8,33,1,0,1,2,1,11,12
533,30,65,12,5,1,32,0,0,1,5,1,11,12
1040,40,101,12,19,9,38,1,1,1,6,1,11,12
654,50,121,17,12,13,34,1,0,1,1,2,11,12
350,45,116,16,5,3,33,1,1,1,2,2,11,12
511,45,101,12,13,1,30,1,0,1,4,2,11,12
1065,65,104,16,10,11,34,1,1,1,2,3,11,12
1107,40,112,12,12,5,38,1,0,1,5,3,11,12
601,48,111,12,15,3,33,1,0,1,0,1,12,12
809,65,125,12,11,10,29,1,0,1,0,1,12,12
622,45,119,16,12,1,33,1,0,1,0,1,12,12
1202,40,100,12,18,2,37,1,0,1,0,1,12,12
750,40,104,12,15,11,33,1,0,0,0,1,12,12
2099,55,119,16,10,4,32,1,0,1,0,1,12,12
1682,50,107,14,15,9,32,1,1,1,0,1,12,12
2137,45,102,13,8,2,30,1,1,0,0,1,12,12
660,42,101,16,12,9,31,1,1,1,0,1,12,12
962,50,97,16,7,2,30,1,1,1,0,1,12,12
1792,40,118,16,9,9,34,1,0,1,1,1,12,12
1424,50,98,14,15,4,35,1,0,1,1,1,12,12
1081,40,123,18,11,7,36,1,0,0,1,1,12,12
1100,40,105,12,22,14,38,1,0,1,1,1,12,12
1748,55,123,17,10,7,36,1,0,1,1,1,12,12
1346,40,90,16,9,16,38,1,0,1,1,1,12,12
923,40,105,18,7,14,34,1,0,1,1,1,12,12
2162,40,115,17,4,4,38,1,0,1,1,1,12,12
1924,45,112,16,17,18,38,1,0,1,1,1,12,12
841,48,110,18,13,1,37,0,0,1,1,1,12,12
1206,40,110,12,16,4,38,1,0,1,1,1,12,12
562,40,99,12,18,12,34,0,0,0,1,1,12,12
700,40,120,16,10,1,29,1,1,1,1,1,12,12
812,40,131,16,9,3,30,0,0,0,1,1,12,12
1329,55,115,18,10,5,36,1,0,1,1,1,12,12
377,40,83,12,9,1,36,0,1,1,1,1,12,12
866,40,111,14,16,14,35,1,0,1,1,1,12,12
1710,45,118,18,12,12,38,1,0,1,1,1,12,12
864,40,87,12,15,6,31,1,0,0,1,1,12,12
1615,50,113,16,10,4,36,1,0,1,2,1,12,12
2137,45,145,16,17,8,38,1,0,1,2,1,12,12
1154,40,134,18,10,10,37,1,1,1,2,1,12,12
950,60,98,11,13,6,31,1,0,1,2,1,12,12
2404,50,106,15,8,0,32,1,0,1,2,1,12,12
757,40,113,16,10,9,33,1,0,1,2,1,12,12
817,40,95,12,16,14,33,1,0,0,2,1,12,12
1155,45,85,12,14,1,34,1,0,1,2,1,12,12
1151,48,87,12,18,9,38,1,0,1,2,1,12,12
1270,40,118,14,4,16,36,1,0,1,2,1,12,12
876,45,116,16,10,8,29,1,0,1,2,1,12,12
909,40,95,13,6,2,31,1,0,1,2,1,12,12
1417,38,88,16,9,10,32,0,0,1,2,1,12,12
556,40,127,16,6,2,31,1,1,1,2,1,12,12
1442,40,113,13,14,8,36,1,1,1,2,1,12,12
929,40,97,13,12,5,30,1,1,1,2,1,12,12
900,40,54,14,12,3,31,1,1,1,2,1,12,12
2004,48,105,18,10,0,34,1,0,1,2,1,12,12
1250,44,96,12,19,20,38,1,0,1,2,1,12,12
583,48,94,14,10,6,37,1,0,0,2,1,12,12
600,40,114,16,5,4,30,1,1,1,2,1,12,12
770,40,105,17,7,11,30,1,0,1,3,1,12,12
1200,40,97,12,10,4,31,1,0,1,3,1,12,12
623,45,98,16,7,1,30,1,0,0,3,1,12,12
841,40,102,16,10,1,29,1,0,1,3,1,12,12
890,70,73,12,6,8,31,1,0,1,3,1,12,12
1105,40,104,16,5,8,29,1,0,1,3,1,12,12
975,40,97,13,8,0,31,1,0,1,3,1,12,12
684,45,111,14,7,7,29,1,0,1,4,1,12,12
788,40,96,12,13,5,36,1,1,1,4,1,12,12
906,40,120,14,16,2,37,1,0,1,5,1,12,12
1143,35,97,12,21,8,38,1,0,1,5,1,12,12
2668,75,108,13,12,2,32,1,1,1,1,2,12,12
1000,50,97,12,17,15,36,1,0,1,1,2,12,12
1250,40,117,14,7,1,28,1,0,1,1,2,12,12
693,53,101,12,7,6,28,1,0,0,1,2,12,12
550,56,99,12,17,11,36,1,1,1,1,2,12,12
770,40,80,12,16,14,35,1,0,1,1,2,12,12
1602,60,124,16,12,2,37,1,0,1,1,2,12,12
855,40,99,12,19,10,36,1,0,1,1,2,12,12
900,40,119,16,8,9,30,1,0,0,1,2,12,12
1198,32,117,16,7,9,30,1,1,1,1,2,12,12
987,40,96,12,11,5,29,1,1,0,1,2,12,12
566,45,104,16,5,2,32,1,1,0,1,2,12,12
1282,45,112,16,6,6,31,0,1,1,2,2,12,12
